table_name,risk_level,risk_type,observation,recommendation
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_COUNTRY appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_ZIP appears temporal but is varchar(20).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_WEBSITE appears temporal but is varchar(255).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_GSTIN appears temporal but is varchar(20).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_PAN appears temporal but is varchar(20).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_NABL_CERT_NO appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_REMARKS appears temporal but is varchar(1000).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_CREATED_BY appears temporal but is varchar(20).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,MEDIUM,DATE_AS_TEXT,Column CMM_CONT_UPDATED_BY appears temporal but is varchar(20).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_cont_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_designation_mst,MEDIUM,DATE_AS_TEXT,Column DG_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_designation_mst,MEDIUM,DATE_AS_TEXT,Column DG_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_designation_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_desig_hist,MEDIUM,DATE_AS_TEXT,Column EMM_DESIGNATION appears temporal but is varchar(200).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_desig_hist,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_device_spares_mst,MEDIUM,DATE_AS_TEXT,Column DS_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_device_spares_mst,MEDIUM,DATE_AS_TEXT,Column DS_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_device_spares_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_division_hist,HIGH,NO_PRIMARY_KEY,No primary key found in parsed DDL/ALTER statements.,Do not build write APIs on this table until a stable key strategy is confirmed.
cmms_division_hist,MEDIUM,DATE_AS_TEXT,Column EQD_STATUS appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_division_hist,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_documentno_mst,MEDIUM,POSSIBLE_MISSING_FK,"Contains identifier-like columns but no FK parsed: CurrentNo, MaximumNo, SequenceNo",Validate relationships before using joins or cascading lifecycle operations.
cmms_documentno_mst,MEDIUM,DATE_AS_TEXT,Column Description appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_documentno_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_emp_mst,MEDIUM,DATE_AS_TEXT,Column EMM_DESIGNATION appears temporal but is varchar(200).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_emp_mst,MEDIUM,DATE_AS_TEXT,Column EMM_STATE appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_emp_mst,MEDIUM,DATE_AS_TEXT,Column EMM_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_emp_mst,MEDIUM,DATE_AS_TEXT,Column EMM_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_emp_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_eqipinst_identification,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_eqip_detail_spec,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_eqip_mst,MEDIUM,DATE_AS_TEXT,Column EQM_OPTIONNDESC appears temporal but is varchar(250).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst,MEDIUM,DATE_AS_TEXT,Column EQM_PONO appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst,MEDIUM,DATE_AS_TEXT,Column EQM_DIV_STATUS appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst,MEDIUM,DATE_AS_TEXT,Column EQM_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst,MEDIUM,DATE_AS_TEXT,Column EQM_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst,MEDIUM,DATE_AS_TEXT,Column EQM_CAL_AT appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_eqip_mst_hist,MEDIUM,POSSIBLE_MISSING_FK,"Contains identifier-like columns but no FK parsed: EQM_HIST_ID, EQM_ID, EQM_DIVID, EQM_PMCHKLSTNO, EQM_CALCHKLSTNO, EQM_TMPLTID, EQM_MFRID, EQM_VENID",Validate relationships before using joins or cascading lifecycle operations.
cmms_eqip_mst_hist,MEDIUM,DATE_AS_TEXT,Column EQM_OPTIONNDESC appears temporal but is varchar(250).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst_hist,MEDIUM,DATE_AS_TEXT,Column EQM_PONO appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst_hist,MEDIUM,DATE_AS_TEXT,Column EQM_DIV_STATUS appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst_hist,MEDIUM,DATE_AS_TEXT,Column EQM_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst_hist,MEDIUM,DATE_AS_TEXT,Column EQM_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst_hist,MEDIUM,DATE_AS_TEXT,Column EQM_CAL_AT appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_eqip_mst_hist,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_eqip_tec_spec,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_fault_mst,MEDIUM,DATE_AS_TEXT,Column FM_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_fault_mst,MEDIUM,DATE_AS_TEXT,Column FM_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_fault_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_ins_accuracy_info,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_inv_eqip_dtl,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_inv_mst,MEDIUM,DATE_AS_TEXT,Column INV_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_inv_mst,MEDIUM,DATE_AS_TEXT,Column INV_UPDATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_inv_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_attendedby_dtl,MEDIUM,DATE_AS_TEXT,Column JMA_SECTIONJOBNO appears temporal but is varchar(9).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_attendedby_dtl,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_awaitinginfo,MEDIUM,DATE_AS_TEXT,Column RepairStatus appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_awaitinginfo,MEDIUM,DATE_AS_TEXT,Column AttendedBy appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_awaitinginfo,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_cal_adjustments_dtl,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_cal_dtl,MEDIUM,DATE_AS_TEXT,Column JCD_CALStatus appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_cal_dtl,MEDIUM,DATE_AS_TEXT,Column JCD_ReasonForNoCAL appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_cal_dtl,MEDIUM,DATE_AS_TEXT,Column JCD_EQStatusAsRecd appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_cal_dtl,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_cal_observations,MEDIUM,DATE_AS_TEXT,Column Status appears temporal but is varchar(15).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_cal_observations,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_contract_warranty_dtl,MEDIUM,DATE_AS_TEXT,Column CWD_GatePassNo appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_contract_warranty_dtl,MEDIUM,DATE_AS_TEXT,Column CWD_GatePassIssuedBy appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_contract_warranty_dtl,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_eq_used,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_faulty_category,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_faulty_section,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_inspection_info,MEDIUM,DATE_AS_TEXT,Column EqNotRecdReason appears temporal but is varchar(500).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_inspection_info,MEDIUM,DATE_AS_TEXT,Column InspectionResult appears temporal but is varchar(20).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_inspection_info,MEDIUM,DATE_AS_TEXT,Column RejectionReasons appears temporal but is varchar(200).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_inspection_info,MEDIUM,DATE_AS_TEXT,Column FaultDescription appears temporal but is varchar(200).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_inspection_info,MEDIUM,DATE_AS_TEXT,Column ActionTakenBySupplier appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_inspection_info,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_mst,MEDIUM,DATE_AS_TEXT,Column JM_SectionJobNo appears temporal but is varchar(9).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst,MEDIUM,DATE_AS_TEXT,Column JM_JobStatus appears temporal but is char(2).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst,MEDIUM,DATE_AS_TEXT,Column JM_AttendedBy appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst,MEDIUM,DATE_AS_TEXT,Column JM_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst,MEDIUM,DATE_AS_TEXT,Column JM_UPDATED_BY appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst,MEDIUM,DATE_AS_TEXT,Column JM_REOPENED_REASON appears temporal but is varchar(500).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_mst_history,MEDIUM,POSSIBLE_MISSING_FK,"Contains identifier-like columns but no FK parsed: HistoryId, JM_JobCardNO, JM_EQM_ID, JM_SectionJobNo, JM_PLANID",Validate relationships before using joins or cascading lifecycle operations.
cmms_jobcard_mst_history,MEDIUM,DATE_AS_TEXT,Column JM_SectionJobNo appears temporal but is varchar(9).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst_history,MEDIUM,DATE_AS_TEXT,Column JM_JobStatus appears temporal but is char(2).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst_history,MEDIUM,DATE_AS_TEXT,Column JM_AttendedBy appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst_history,MEDIUM,DATE_AS_TEXT,Column JM_CREATED_BY appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst_history,MEDIUM,DATE_AS_TEXT,Column JM_UPDATED_BY appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst_history,MEDIUM,DATE_AS_TEXT,Column HU_UPDATED_BY appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_mst_history,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_repair_info,MEDIUM,DATE_AS_TEXT,Column ReasonsForNotRepaired appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_repair_info,MEDIUM,DATE_AS_TEXT,Column FaultDescription appears temporal but is varchar(550).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_repair_info,MEDIUM,DATE_AS_TEXT,Column ActionTaken appears temporal but is varchar(550).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_repair_info,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_request_info,MEDIUM,DATE_AS_TEXT,Column JRI_Designation appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_request_info,MEDIUM,DATE_AS_TEXT,Column JRI_Division appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_request_info,MEDIUM,DATE_AS_TEXT,Column JRI_PhoneLab appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_request_info,MEDIUM,DATE_AS_TEXT,Column JRI_PhoneRoom appears temporal but is varchar(50).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_request_info,MEDIUM,DATE_AS_TEXT,Column JRI_PONO appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_request_info,MEDIUM,DATE_AS_TEXT,Column JRI_Working_Status appears temporal but is varchar(20).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_request_info,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_request_item_dtl,MEDIUM,DATE_AS_TEXT,Column JR_SECTIONJOBNO appears temporal but is varchar(9).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_request_item_dtl,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_spares_equip,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobcard_status_hist,HIGH,NO_PRIMARY_KEY,No primary key found in parsed DDL/ALTER statements.,Do not build write APIs on this table until a stable key strategy is confirmed.
cmms_jobcard_status_hist,MEDIUM,DATE_AS_TEXT,Column JH_SectionJobNo appears temporal but is varchar(9).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_status_hist,MEDIUM,DATE_AS_TEXT,Column JH_JobStatus appears temporal but is varchar(2).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_status_hist,MEDIUM,DATE_AS_TEXT,Column JH_StatusUpdatedBy appears temporal but is varchar(7).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobcard_status_hist,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobrequest_item_dtl,LOW,CHARSET_UTF8_LEGACY,"Table charset is utf8 / utf8_unicode_ci, not utf8mb4.",Keep stable during MVP; plan charset standardization only after backup + regression tests.
cmms_jobrequest_mst,MEDIUM,DATE_AS_TEXT,Column JR_SECTIONJOB_NO appears temporal but is varchar(9).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobrequest_mst,MEDIUM,DATE_AS_TEXT,Column JR_DESIGNATION appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobrequest_mst,MEDIUM,DATE_AS_TEXT,Column JR_PHONEROOM appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobrequest_mst,MEDIUM,DATE_AS_TEXT,Column JR_PONO appears temporal but is varchar(100).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobrequest_mst,MEDIUM,DATE_AS_TEXT,Column JR_WORKING_STATUS appears temporal but is varchar(20).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
cmms_jobrequest_mst,MEDIUM,DATE_AS_TEXT,Column JR_REJECTION_REASON appears temporal but is varchar(500).,Normalize in API layer; avoid direct date arithmetic without STR_TO_DATE/validated parsing.
